發料單號,Name,色系名稱,色系編號,成品布號,OP否,DPF,機器規格,染缸容量KG,主泵轉數,帶布輪轉速,噴嘴大小,循環時間,總圈數,浴比,色號,是否有追加,標準樣L,L,CIE_DL,CMC_DL,標準樣a,a,CIE_Da,標準樣b,b,CIE_Db,標準樣C,C,CMC_DC,標準樣h,h,CMC_Dh,CMC_DE,配方料號1,配方濃度1,配方料號2,配方濃度2,配方料號3,配方濃度3,配方料號4,配方濃度4,配方料號5,配方濃度5,配方料號6,配方濃度6,配方料號7,配方濃度7
F9302-26032181,F9302-26032181,BK,3,SCK-250,N,1.04167,Rapido-2,400,1250,1000,30*30,80.50,232.71,4.94,A1605-23050026-1B,N,17.23,16.87,-0.36,-0.33,-0.51,-0.54,-0.03,-2.22,-1.97,0.25,,2.05,-0.30,,254.60,-0.12,0.46,1862,2.346,1430,0.531,1578,0.51,1191,0.46656,無,0,無,0,無,0
F9302-26032189,F9302-26032189,BK,7,SW-80351C0,Y,0.69444,Rapido-2,100,1250,1050,25*30,18.00,1608.17,8.00,2003188-1B,N,18.90,18.82,-0.08,-0.07,0.61,0.82,0.22,-2.56,-2.55,0.01,,2.68,0.06,,287.92,0.28,0.30,1862,3.024,1430,0.5544,1142,0.2112,無,0,無,0,無,0,無,0
F9302-26032198,F9302-26032198,BL,2,SK-1216C0,N,0.83333,Rapido-2,200,1200,900,25*20,99.00,181.72,10.26,A1605-25040025-7A,N,64.07,64.18,0.11,0.04,-3.55,-3.60,-0.05,-19.11,-18.83,0.27,19.43,19.17,-0.16,259.47,259.18,-0.09,0.19,1565,0.1598,1391,0.02581,1191,0.007544,無,0,無,0,無,0,無,0
F9302-26032200,F9302-26032200,GR,2,SCK-250,N,1.04167,Rapido-2,200,1250,1000,30*30,54.00,279.06,8.00,A1605-25090105-1C,N,64.44,63.81,-0.63,-0.25,-6.81,-6.94,-0.14,-3.07,-3.37,-0.30,7.47,7.72,0.24,204.24,205.87,0.25,0.43,1565,0.125,1191,0.0245,1391,0.0145,1722,0.0142,無,0,無,0,無,0
F9302-26032206,F9302-26032206,OL,5,SW-8965C0,Y,0.69444,Rapido-2,800,1300,1000,45*30,80.25,337.52,3.54,A1605-24090023-1C,N,29.67,30.95,1.28,0.80,-0.53,-0.37,0.16,5.40,5.62,0.22,,5.63,0.21,,93.78,-0.24,0.86,1578,0.504,1191,0.41412,1391,0.33321,1201,0.22695,無,0,無,0,無,0
F9302-26032207,F9302-26032207,WH,3,SW-80180C0,N,1.04167,Rapido-2,400,1350,1200,30*30,39.00,403.95,11.94,A1605-23010064-1A,N,91.58,91.74,0.16,0.06,-1.78,-1.93,-0.15,5.02,4.88,-0.14,5.32,5.25,-0.08,109.53,111.54,0.23,0.25,1111,0.006052,1310,0.002914,1510,0.0028,無,0,無,0,無,0,無,0
F9302-26032209,F9302-26032209,BK,6,SCK-479SAM,N,1.04167,Rapido-2,400,1350,1000,40*30,45.50,1628.24,4.97,A1605-25030198-2B,Y,16.89,17.35,0.45,0.43,-0.04,1.06,1.11,-2.85,-2.10,0.75,2.85,2.35,-0.61,269.14,296.89,1.65,1.81,1862,3.27,1430,0.4056,1191,0.1605,無,0,無,0,無,0,無,0
F9302-26032222,F9302-26032222,BK,3,SCK-3562,N,0.69444,Rapido-1,600,1350,1100,30*30,93.25,332.20,5.64,1911195-3A,N,16.18,16.16,-0.01,-0.01,0.51,0.70,0.19,-1.46,-1.27,0.19,,1.45,-0.13,,298.78,0.35,0.37,1862,4.5625,1722,0.616,1848,0.55,1430,0.165,1588,0.12,無,0,無,0
F9302-26032225,F9302-26032225,GY,4,SW-81081C0,Y,1.04167,Rapido-2,400,1300,1050,30*40,63.50,360.71,4.72,A1605-25020037-1A,N,32.79,32.88,0.09,0.05,-0.05,-0.11,-0.06,-1.46,-1.34,0.12,1.46,1.35,-0.15,268.01,265.24,-0.09,0.19,1576,0.744,1191,0.209,1430,0.18424,1722,0.152,無,0,無,0,無,0
F9302-26032254,F9302-26032254,BK,3,SCK-3814,N,2.08333,Rapido-1,600,1300,1100,30*40,58.75,265.67,5.63,2011071-4D,N,15.26,15.29,0.03,0.03,0.48,0.51,0.03,-1.17,-0.99,0.19,,1.11,-0.22,,297.31,0.14,0.26,1862,3,1863,0.575,1724,0.56,1391,0.2125,無,0,無,0,無,0
